Estado,Causa,Genero,year,Casos
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,91
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2015,18
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2015,0
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2016,84
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2016,19
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2016,0
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2017,103
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2017,18
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2017,0
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2018,101
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2018,22
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2018,0
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2019,117
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2019,22
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2019,0
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Hombres,2020,142
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2020,23
Aguascalientes,Ahorcamiento estrangulamiento o sofocación ,No especificado,2020,0
Aguascalientes,Disparo de arma de fuego,Hombres,2015,6
Aguascalientes,Disparo de arma de fuego,Mujeres,2015,1
Aguascalientes,Disparo de arma de fuego,No especificado,2015,0
Aguascalientes,Disparo de arma de fuego,Hombres,2016,8
Aguascalientes,Disparo de arma de fuego,Mujeres,2016,0
Aguascalientes,Disparo de arma de fuego,No especificado,2016,0
Aguascalientes,Disparo de arma de fuego,Hombres,2017,7
Aguascalientes,Disparo de arma de fuego,Mujeres,2017,0
Aguascalientes,Disparo de arma de fuego,No especificado,2017,0
Aguascalientes,Disparo de arma de fuego,Hombres,2018,6
Aguascalientes,Disparo de arma de fuego,Mujeres,2018,1
Aguascalientes,Disparo de arma de fuego,No especificado,2018,0
Aguascalientes,Disparo de arma de fuego,Hombres,2019,5
Aguascalientes,Disparo de arma de fuego,Mujeres,2019,0
Aguascalientes,Disparo de arma de fuego,No especificado,2019,0
Aguascalientes,Disparo de arma de fuego,Hombres,2020,10
Aguascalientes,Disparo de arma de fuego,Mujeres,2020,0
Aguascalientes,Disparo de arma de fuego,No especificado,2020,0
Aguascalientes,Envenenamiento,Hombres,2015,3
Aguascalientes,Envenenamiento,Mujeres,2015,3
Aguascalientes,Envenenamiento,No especificado,2015,0
Aguascalientes,Envenenamiento,Hombres,2016,7
Aguascalientes,Envenenamiento,Mujeres,2016,3
Aguascalientes,Envenenamiento,No especificado,2016,0
Aguascalientes,Envenenamiento,Hombres,2017,4
Aguascalientes,Envenenamiento,Mujeres,2017,6
Aguascalientes,Envenenamiento,No especificado,2017,0
Aguascalientes,Envenenamiento,Hombres,2018,4
Aguascalientes,Envenenamiento,Mujeres,2018,3
Aguascalientes,Envenenamiento,No especificado,2018,0
Aguascalientes,Envenenamiento,Hombres,2019,6
Aguascalientes,Envenenamiento,Mujeres,2019,5
Aguascalientes,Envenenamiento,No especificado,2019,0
Aguascalientes,Envenenamiento,Hombres,2020,4
Aguascalientes,Envenenamiento,Mujeres,2020,1
Aguascalientes,Envenenamiento,No especificado,2020,0
Aguascalientes,Otras causas,Hombres,2015,2
Aguascalientes,Otras causas,Mujeres,2015,0
Aguascalientes,Otras causas,No especificado,2015,0
Aguascalientes,Otras causas,Hombres,2016,3
Aguascalientes,Otras causas,Mujeres,2016,1
Aguascalientes,Otras causas,No especificado,2016,0
Aguascalientes,Otras causas,Hombres,2017,1
Aguascalientes,Otras causas,Mujeres,2017,1
Aguascalientes,Otras causas,No especificado,2017,0
Aguascalientes,Otras causas,Hombres,2018,3
Aguascalientes,Otras causas,Mujeres,2018,0
Aguascalientes,Otras causas,No especificado,2018,0
Aguascalientes,Otras causas,Hombres,2019,1
Aguascalientes,Otras causas,Mujeres,2019,1
Aguascalientes,Otras causas,No especificado,2019,0
Aguascalientes,Otras causas,Hombres,2020,1
Aguascalientes,Otras causas,Mujeres,2020,0
Aguascalientes,Otras causas,No especificado,2020,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,105
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2015,16
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2015,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2016,120
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2016,21
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2016,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2017,128
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2017,15
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2017,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2018,135
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2018,28
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2018,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2019,126
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2019,20
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2019,0
Baja California,Ahorcamiento estrangulamiento o sofocación ,Hombres,2020,76
Baja California,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2020,10
Baja California,Ahorcamiento estrangulamiento o sofocación ,No especificado,2020,0
Baja California,Disparo de arma de fuego,Hombres,2015,17
Baja California,Disparo de arma de fuego,Mujeres,2015,1
Baja California,Disparo de arma de fuego,No especificado,2015,0
Baja California,Disparo de arma de fuego,Hombres,2016,14
Baja California,Disparo de arma de fuego,Mujeres,2016,0
Baja California,Disparo de arma de fuego,No especificado,2016,0
Baja California,Disparo de arma de fuego,Hombres,2017,14
Baja California,Disparo de arma de fuego,Mujeres,2017,1
Baja California,Disparo de arma de fuego,No especificado,2017,0
Baja California,Disparo de arma de fuego,Hombres,2018,17
Baja California,Disparo de arma de fuego,Mujeres,2018,0
Baja California,Disparo de arma de fuego,No especificado,2018,0
Baja California,Disparo de arma de fuego,Hombres,2019,7
Baja California,Disparo de arma de fuego,Mujeres,2019,2
Baja California,Disparo de arma de fuego,No especificado,2019,0
Baja California,Disparo de arma de fuego,Hombres,2020,7
Baja California,Disparo de arma de fuego,Mujeres,2020,0
Baja California,Disparo de arma de fuego,No especificado,2020,0
Baja California,Envenenamiento,Hombres,2015,3
Baja California,Envenenamiento,Mujeres,2015,1
Baja California,Envenenamiento,No especificado,2015,0
Baja California,Envenenamiento,Hombres,2016,2
Baja California,Envenenamiento,Mujeres,2016,5
Baja California,Envenenamiento,No especificado,2016,0
Baja California,Envenenamiento,Hombres,2017,2
Baja California,Envenenamiento,Mujeres,2017,2
Baja California,Envenenamiento,No especificado,2017,0
Baja California,Envenenamiento,Hombres,2018,4
Baja California,Envenenamiento,Mujeres,2018,2
Baja California,Envenenamiento,No especificado,2018,0
Baja California,Envenenamiento,Hombres,2019,2
Baja California,Envenenamiento,Mujeres,2019,2
Baja California,Envenenamiento,No especificado,2019,0
Baja California,Envenenamiento,Hombres,2020,2
Baja California,Envenenamiento,Mujeres,2020,0
Baja California,Envenenamiento,No especificado,2020,0
Baja California,Otras causas,Hombres,2015,5
Baja California,Otras causas,Mujeres,2015,2
Baja California,Otras causas,No especificado,2015,0
Baja California,Otras causas,Hombres,2016,6
Baja California,Otras causas,Mujeres,2016,2
Baja California,Otras causas,No especificado,2016,0
Baja California,Otras causas,Hombres,2017,3
Baja California,Otras causas,Mujeres,2017,1
Baja California,Otras causas,No especificado,2017,0
Baja California,Otras causas,Hombres,2018,8
Baja California,Otras causas,Mujeres,2018,0
Baja California,Otras causas,No especificado,2018,0
Baja California,Otras causas,Hombres,2019,8
Baja California,Otras causas,Mujeres,2019,2
Baja California,Otras causas,No especificado,2019,0
Baja California,Otras causas,Hombres,2020,2
Baja California,Otras causas,Mujeres,2020,0
Baja California,Otras causas,No especificado,2020,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,37
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2015,6
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2015,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2016,42
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2016,4
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2016,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2017,38
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2017,4
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2017,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2018,34
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2018,9
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2018,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2019,44
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2019,3
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2019,0
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Hombres,2020,49
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2020,8
Baja California Sur,Ahorcamiento estrangulamiento o sofocación ,No especificado,2020,0
Baja California Sur,Disparo de arma de fuego,Hombres,2015,4
Baja California Sur,Disparo de arma de fuego,Mujeres,2015,1
Baja California Sur,Disparo de arma de fuego,No especificado,2015,0
Baja California Sur,Disparo de arma de fuego,Hombres,2016,5
Baja California Sur,Disparo de arma de fuego,Mujeres,2016,0
Baja California Sur,Disparo de arma de fuego,No especificado,2016,0
Baja California Sur,Disparo de arma de fuego,Hombres,2017,1
Baja California Sur,Disparo de arma de fuego,Mujeres,2017,0
Baja California Sur,Disparo de arma de fuego,No especificado,2017,0
Baja California Sur,Disparo de arma de fuego,Hombres,2018,8
Baja California Sur,Disparo de arma de fuego,Mujeres,2018,0
Baja California Sur,Disparo de arma de fuego,No especificado,2018,0
Baja California Sur,Disparo de arma de fuego,Hombres,2019,5
Baja California Sur,Disparo de arma de fuego,Mujeres,2019,0
Baja California Sur,Disparo de arma de fuego,No especificado,2019,0
Baja California Sur,Disparo de arma de fuego,Hombres,2020,2
Baja California Sur,Disparo de arma de fuego,Mujeres,2020,0
Baja California Sur,Disparo de arma de fuego,No especificado,2020,0
Baja California Sur,Envenenamiento,Hombres,2015,3
Baja California Sur,Envenenamiento,Mujeres,2015,2
Baja California Sur,Envenenamiento,No especificado,2015,0
Baja California Sur,Envenenamiento,Hombres,2016,0
Baja California Sur,Envenenamiento,Mujeres,2016,1
Baja California Sur,Envenenamiento,No especificado,2016,0
Baja California Sur,Envenenamiento,Hombres,2017,2
Baja California Sur,Envenenamiento,Mujeres,2017,1
Baja California Sur,Envenenamiento,No especificado,2017,0
Baja California Sur,Envenenamiento,Hombres,2018,0
Baja California Sur,Envenenamiento,Mujeres,2018,0
Baja California Sur,Envenenamiento,No especificado,2018,0
Baja California Sur,Envenenamiento,Hombres,2019,3
Baja California Sur,Envenenamiento,Mujeres,2019,0
Baja California Sur,Envenenamiento,No especificado,2019,0
Baja California Sur,Envenenamiento,Hombres,2020,2
Baja California Sur,Envenenamiento,Mujeres,2020,0
Baja California Sur,Envenenamiento,No especificado,2020,0
Baja California Sur,Otras causas,Hombres,2015,4
Baja California Sur,Otras causas,Mujeres,2015,0
Baja California Sur,Otras causas,No especificado,2015,0
Baja California Sur,Otras causas,Hombres,2016,2
Baja California Sur,Otras causas,Mujeres,2016,1
Baja California Sur,Otras causas,No especificado,2016,0
Baja California Sur,Otras causas,Hombres,2017,1
Baja California Sur,Otras causas,Mujeres,2017,0
Baja California Sur,Otras causas,No especificado,2017,0
Baja California Sur,Otras causas,Hombres,2018,6
Baja California Sur,Otras causas,Mujeres,2018,0
Baja California Sur,Otras causas,No especificado,2018,0
Baja California Sur,Otras causas,Hombres,2019,4
Baja California Sur,Otras causas,Mujeres,2019,0
Baja California Sur,Otras causas,No especificado,2019,0
Baja California Sur,Otras causas,Hombres,2020,6
Baja California Sur,Otras causas,Mujeres,2020,0
Baja California Sur,Otras causas,No especificado,2020,0
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,59
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2015,13
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2015,0
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2016,59
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2016,13
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2016,1
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2017,54
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2017,10
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2017,0
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2018,48
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2018,9
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2018,0
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2019,73
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2019,7
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2019,0
Campeche,Ahorcamiento estrangulamiento o sofocación ,Hombres,2020,43
Campeche,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2020,17
Campeche,Ahorcamiento estrangulamiento o sofocación ,No especificado,2020,0
Campeche,Disparo de arma de fuego,Hombres,2015,8
Campeche,Disparo de arma de fuego,Mujeres,2015,0
Campeche,Disparo de arma de fuego,No especificado,2015,0
Campeche,Disparo de arma de fuego,Hombres,2016,5
Campeche,Disparo de arma de fuego,Mujeres,2016,0
Campeche,Disparo de arma de fuego,No especificado,2016,0
Campeche,Disparo de arma de fuego,Hombres,2017,4
Campeche,Disparo de arma de fuego,Mujeres,2017,0
Campeche,Disparo de arma de fuego,No especificado,2017,0
Campeche,Disparo de arma de fuego,Hombres,2018,5
Campeche,Disparo de arma de fuego,Mujeres,2018,0
Campeche,Disparo de arma de fuego,No especificado,2018,0
Campeche,Disparo de arma de fuego,Hombres,2019,3
Campeche,Disparo de arma de fuego,Mujeres,2019,1
Campeche,Disparo de arma de fuego,No especificado,2019,0
Campeche,Disparo de arma de fuego,Hombres,2020,3
Campeche,Disparo de arma de fuego,Mujeres,2020,1
Campeche,Disparo de arma de fuego,No especificado,2020,0
Campeche,Envenenamiento,Hombres,2015,3
Campeche,Envenenamiento,Mujeres,2015,1
Campeche,Envenenamiento,No especificado,2015,0
Campeche,Envenenamiento,Hombres,2016,4
Campeche,Envenenamiento,Mujeres,2016,4
Campeche,Envenenamiento,No especificado,2016,0
Campeche,Envenenamiento,Hombres,2017,5
Campeche,Envenenamiento,Mujeres,2017,1
Campeche,Envenenamiento,No especificado,2017,0
Campeche,Envenenamiento,Hombres,2018,4
Campeche,Envenenamiento,Mujeres,2018,2
Campeche,Envenenamiento,No especificado,2018,0
Campeche,Envenenamiento,Hombres,2019,7
Campeche,Envenenamiento,Mujeres,2019,2
Campeche,Envenenamiento,No especificado,2019,0
Campeche,Envenenamiento,Hombres,2020,1
Campeche,Envenenamiento,Mujeres,2020,4
Campeche,Envenenamiento,No especificado,2020,0
Campeche,Otras causas,Hombres,2015,2
Campeche,Otras causas,Mujeres,2015,0
Campeche,Otras causas,No especificado,2015,0
Campeche,Otras causas,Hombres,2016,1
Campeche,Otras causas,Mujeres,2016,0
Campeche,Otras causas,No especificado,2016,0
Campeche,Otras causas,Hombres,2017,0
Campeche,Otras causas,Mujeres,2017,0
Campeche,Otras causas,No especificado,2017,0
Campeche,Otras causas,Hombres,2018,1
Campeche,Otras causas,Mujeres,2018,0
Campeche,Otras causas,No especificado,2018,0
Campeche,Otras causas,Hombres,2019,2
Campeche,Otras causas,Mujeres,2019,0
Campeche,Otras causas,No especificado,2019,0
Campeche,Otras causas,Hombres,2020,1
Campeche,Otras causas,Mujeres,2020,0
Campeche,Otras causas,No especificado,2020,0
Chiapas,Ahorcamiento estrangulamiento o sofocación ,Hombres,2015,210
